dialog_act,utterance
inform,korean food
affirm,ah yes can i get a restaurant that serves french food
inform,im looking for a cheap restaurant in east part of town
request,phone number
request,post code
reqalts,how about an indian restaurant
null,um
inform,food
request,the phone number please
affirm,yes
thankyou,thank you good bye
request,i want to know the address
inform,looking for something with gastropub on the east side of town
inform,i dont care
inform,i want thai food
inform,traditional food
thankyou,thank you good bye
inform,it doesnt matter hungarian food
request,phone number
thankyou,thank you good bye
thankyou,thank you good bye
inform,modern european food
negate,no
inform,international
reqalts,how about gastropub food
reqalts,how about thai food
reqalts,how about chinese
thankyou,thank you good bye
inform,anything
affirm,yes
reqalts,anything else
reqalts,what about thai
inform,i need a moderately priced restaurant in the south part of town
thankyou,thank you good bye
deny,i dont want vietnamese food
inform,im looking for a restaurant serving british food then
reqalts,oh is there anything else
inform,south part of town
inform,seafood
affirm,yes
request,what is the address
request,whats the address
request,and the phone number
request,what is the post code
inform,barbecue
inform,any part of town
inform,british food
inform,asian oriental type of food
inform,any area
request,phone number
inform,im looking for a restaurant in the north part of town serving in
thankyou,thank you good bye
request,what type of food
inform,what about the center area
thankyou,thank you good bye
request,phone number
request,and the type of food
inform,the center
request,what is the post code
request,and whats their phone number
inform,expensive restaurants
inform,south
inform,dont care
null,sil
inform,with scottish food
inform,indian
request,what is the phone number please
inform,dont care
reqalts,is there anything else
reqalts,how about indian food
request,phone number
request,and whats the phone number
inform,restaurant in the north part of town that serves french
thankyou,thank you good bye
inform,id like thai food
affirm,yes
bye,okay thank you and good bye
affirm,yeah i need um um m
thankyou,okay thank you
request,what kind of food does it serve
inform,could i have a restaurant in the south part of town that serves unusual
inform,italian food
request,phone number
inform,cheap restaurant in the south part of town
request,address
request,and the address
inform,hungarian food
inform,i dont care
request,post code
inform,im looking for a moderately priced restaurant
inform,south
thankyou,thank you
request,phone number
inform,belgium
request,whats the address
inform,im looking for a moderately priced restaurant
affirm,yes
inform,im looking for a moderately priced restaurant in the west part of town
request,and what type of food
request,can i have the address
inform,can i get american food
inform,doesnt matter
inform,serving international food
request,whats the phone number
thankyou,thank you very much good bye
inform,spanish food anywhere any area
reqalts,how about british food
affirm,correct
inform,italian
request,please let me have the address
inform,persian food
inform,i need a restaurant in the west part of town that serves europ
request,address
thankyou,thank you good bye
request,and whats their phone number
inform,crossover food in the north part of town
inform,expensive
thankyou,thank you goodbye
inform,breath id like a cheap restaurant in the south part of town
request,what is the phone number
inform,cheap
reqalts,how about chinese food
request,address
inform,oh anything
thankyou,thank you good bye
inform,i dont care
null,noise
reqalts,what about british
thankyou,thank you good bye
reqalts,anything else
null,noise
reqalts,what else
null,not sure
request,phone number
inform,kosher
request,phone number
inform,im looking for a restaurant in the north part of town
inform,moderate
reqalts,how about a portuguese restaurant
bye,goodbye
request,may i have the address
negate,no
request,what is the phone number
null,noise
null,okay
thankyou,thank you good bye
request,phone number
request,address
inform,im looking for a moderately priced restaurant that serves sea food
affirm,yes
request,and what is the price range
inform,im looking for international food
inform,im looking for a restaurant in the west part of town with
request,and the phone number
thankyou,thank you goodbye
request,what type of food does it serve
inform,thai food
inform,i dont know
inform,expensive
null,adress
thankyou,thank you good bye
inform,italian food cheap restaurant
inform,french
thankyou,thank you good bye
inform,any price range
affirm,yes
inform,european
request,phone number
inform,i dont care
inform,asian oriental
request,what is the phone number
request,address
inform,i want to find a restaurant in the west part of town that serves english food
null,sil
null,sil
request,what is the phone number
request,whats the address
request,and the post code
request,the address
thankyou,thank you good bye
null,noise
confirm,does it serve international food
thankyou,okay thank you good bye
inform,center town
inform,indian
inform,find restaurant serving asian
inform,im looking for turkish food
reqalts,what about thai food
inform,west
null,incorrect
reqalts,how about asian oriental
inform,moderately priced restaurant
inform,expensive
inform,im looking for a turkish type of restaurant
inform,expensive
request,whats the address
inform,moderate
inform,any kind
inform,dont care
inform,can i find a expensive restaurant that serves welsh food
inform,cheap restaurant
null,um what
inform,asian oriental
inform,asian
inform,uh moderately priced restaurants in the south part of
inform,that serves traditional food
request,phone number
thankyou,thank you good bye
negate,no is there anything else
request,what is the address
bye,good bye
thankyou,thank you good bye
request,address
inform,i need a restaurant that serves halal food
inform,i dont care
inform,i dont care
null,cough
affirm,yes
null,sil
inform,a restaurant
inform,looking for a restaurant in the east part of town
inform,creative food
inform,cheap
inform,dont care
negate,no
reqalts,anything else
thankyou,thank you goodbye
thankyou,okay thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,venetian
request,can i have the address
request,post code
request,breath what type of food is it
inform,thai food
request,what is the address
request,and the address
thankyou,thank you and price range
inform,moderately priced
thankyou,thank you good bye
request,and what type of food
thankyou,thank you good bye
negate,no
thankyou,okay thank you good bye
request,what is the address
request,address
inform,do you have any asian oriental food
inform,i need moderately priced restaurant that serves spanish
inform,any
inform,any part of town
thankyou,okay thank you good bye
inform,im looking for an expensive restaurant in the east part
inform,east part
null,how about
thankyou,okay thank you good bye
thankyou,thank you
thankyou,thank you good bye
inform,uh that serves catalan food
null,moder
null,inaudible
reqalts,is there anything ele
thankyou,thank you good bye
inform,that serves jamaican food
inform,spanish food
thankyou,thank you good bye
request,can i get the address and phone number
negate,no
inform,korean
inform,eritrean food noise
affirm,yes
inform,any area
reqalts,anything else
inform,japanese food
request,what is the type of food
request,address and phone number
inform,anything
request,what is the phone number and address
request,the phone number
request,phone number
reqalts,is there any thing else
inform,a restaurant in the center
request,address
request,in the cheap price range
inform,mediterranean food
thankyou,thank you good bye
confirm,is it in the east of town
request,okay and ah whats the price range
reqalts,is there anything else
request,i need the address phone number and post code
thankyou,breath thank you goodbye
inform,dont care
request,phone number
inform,irish
negate,no
negate,no i want
inform,any
reqalts,is there anything else
inform,indian food
inform,that serves spanish food
affirm,yes
request,what is the address
request,what is the address
request,what is the address
null,unintelligible
thankyou,thank you good bye
inform,any kind of food
inform,it doesnt matter
request,address
inform,cantonese food
request,whats the address and phone number
reqalts,what about italian food
request,phone number
request,well can i get the address and the post code
confirm,does it serve canapes food noise
negate,no
thankyou,thank you good bye
request,address
request,whats the price range
request,price range
reqalts,how about asian oriental food
inform,unusual food
affirm,yes
request,okay and whats the addre
request,whats the address
inform,swedish food
inform,id like a restaurant in the south part of town that serves cuban
hello,hi looking for a restaurant in the west part of town
reqalts,how about chinese food
request,what is their phone number
inform,cheap restaurant
inform,is there greek greek food in the moderately price range
inform,any food
inform,spanish food
inform,any
repeat,repeat
inform,looking for a cheap restaurant in the north part of town
inform,romanian
reqalts,how about portuguese food
inform,the east part
bye,good bye
thankyou,thank you good bye
inform,find asian oriental
affirm,yes
inform,a cheap restaurant
inform,modern european
thankyou,thank you good bye
request,can i have the address and phone number
request,phone number
inform,in the south part of town
request,and what area is it
request,whats the phone number for that restaurant
inform,in the west part of town in the cheap price range
inform,moderately priced in the south part of town
inform,im looking for a restaurant in the center of town that serves african
affirm,yes
null,find
negate,no
inform,cheap restaurant
thankyou,okay thank you good bye
request,post code
thankyou,thank you goodbye
inform,cheap restaurant
inform,in the center
inform,doesnt matter
thankyou,thank you good bye
inform,dont care
request,whats the phone number
affirm,yes
affirm,yes
inform,in the east part
inform,food
inform,doesnt matter
inform,north
thankyou,thank you good bye
inform,id like a restaurant in any area that it serves canapes
request,can i have post code
inform,im looking for a restaurant in the east part of town thats expensive
bye,okay good bye
request,okay good whats the address and phone number
inform,you said expensive
inform,chinese
affirm,yes
request,whats the phone number
inform,center
thankyou,thank you good bye
reqalts,how about caribbean food
inform,need a cheap restaurant
inform,oriental
reqalts,okay how about any part of town
request,address
null,sil
inform,asian oriental
request,address
reqalts,how about west
inform,im looking for a cheap restaurant that serves gastropub food
inform,i need asian how bout asian food
inform,north
inform,catalonia in the east part of town
inform,food
thankyou,thank you good bye
inform,expensive
inform,doesnt matter
reqalts,how about asian oriental
inform,i dont care
request,may i have the address and phone number for that venue
request,can i get the phone number
thankyou,thank you good bye
inform,japanese
inform,i want to find a restaurant in the north part of town that serves italian food
request,and the phone number
inform,center
thankyou,thank you goodbye
reqalts,how about chinese food
bye,good bye
request,phone number
thankyou,thank you good bye
request,address
inform,dont care
inform,i dont care
thankyou,thank you good bye
affirm,yes
inform,food type
negate,no any area
request,whats the phone number
inform,i would like a restaurant that serves korean food
request,can i have the phone number
request,whats the address phone number and price
null,arts town
request,type of food
inform,moderate priced in the north part of town
request,what is their address and price range
inform,moderate
inform,cheap restaurant serving chinese food
thankyou,thank you
affirm,yes
request,and the post code
thankyou,thank you good bye
inform,i dont care
inform,um im looking for an expensive restaurant
thankyou,thank you good bye
reqalts,how about modern european food
null,unintelligible
inform,mediterranean food
inform,jamaican food
thankyou,thank you good bye
request,price range
thankyou,thank you good bye
request,phone number
inform,cantonese
inform,indian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,i want to find a restaurant
request,and the phone number
request,phone number
inform,find indian restaurant in north of town
inform,any
request,and the postcode
inform,i want an expensive steak house
thankyou,thank you good bye
null,noise
inform,noise im looking for a restaurant that serves scottish food
null,any thing else
request,may i have the phone number please
thankyou,thank you good bye
inform,im looking for singaporean food
null,sil
inform,turkish
reqalts,anything else
inform,im looking for a expensive restaurant that serves vegetarian food
inform,in the south part of town
inform,unusual food
request,phone number
null,breathing
request,the postcode
null,okay ill be there one sec
request,the area
reqalts,how about chinese food
request,post code
affirm,yes a restaurant in the east of town unintelligible serving canap
thankyou,thank you good bye
request,address and phone number
inform,im looking for an expensive restaurant in the east part of town
request,whats the address
inform,thai food
request,how much is the food
null,sil
request,breath may i have the phone number please
request,address
inform,portuguese
inform,uh im looking for a moderately priced restaurant
inform,center
inform,im looking for a moderately priced restaurant in the west part
request,post code
inform,noise south part of town
affirm,right
inform,looking for a restaurant in the south part of town
thankyou,okay ah i think thatll do it thank you and goodbye
inform,north
request,whats their phone number
null,noise
null,sil
inform,any
confirm,uh is there a modern european food restaurant
inform,expensive restaurant tuscan food
hello,hello
reqalts,is there anything else
inform,im looking for a restaurant serving unintelligible
inform,im looking for a korean restaurant
request,whats their phone number
inform,dont care
thankyou,thank you good bye
request,whats the address and post code
request,what is the address
request,and phone number
thankyou,thank you good bye
request,whats the address
inform,european food
request,phone number
affirm,yes
affirm,yes
affirm,yes
thankyou,thank you good bye
inform,expensive restaurant in the east part of town
inform,jamaican food
thankyou,thank you good bye
request,whats the phone number
request,and the area
thankyou,thank you good bye
inform,moderate price
request,whats the address
inform,any part
thankyou,thank you good bye
reqalts,is there anything else
reqalts,is there anything else
thankyou,thank you good bye
request,what is the address and post code
request,breath okay uh thats great how bout the address
thankyou,thank you good bye
thankyou,thank you goodbye
inform,vietnamese
inform,i want an expensive restaurant that serves african food
inform,dont care
request,can i have the address
inform,any
thankyou,thank you good bye
request,what type of food
inform,chinese food
null,sil
request,whats the phone number
reqalts,anything else
inform,lebanese
thankyou,thank you good bye
affirm,ye
inform,gastropub
request,okay whats the phone number
thankyou,thank you good bye
request,area
reqalts,is there anything else
inform,id like a restaurant in the north part of town that serves tur
request,whats the address
inform,restaurant in the south part of town
inform,any
thankyou,thank you good bye
negate,no
inform,vietnamese food
reqalts,anything else
inform,moderate restaurant south part of town
request,address
hello,hi im looking for a cheap restaurant in the south part of town
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
request,address
inform,center
inform,i dont care
inform,restaurant
thankyou,thank you good bye
inform,thai food
inform,any
thankyou,thank you good bye
inform,i am looking for a restaurant in any area and it should serve barbecue food
request,address
inform,expensive
request,phone number and address
negate,no
inform,chineese
request,price range
request,address
null,unintelligible
bye,okay thank you and good bye
inform,a moderately priced restaurant
reqalts,how about indian food
inform,restaurant any area japanese food
inform,i need to find a restaurant in the west part of town
inform,any
request,address and phone number
inform,i dont care
inform,french
reqalts,anything else
request,phone number
request,can i have their address please
inform,what about a restaurant serving thai food
request,whats the address
request,what is the phone number
negate,no im looking
request,type of food
inform,well what about chinese food
affirm,uh yes can i find a cheap restaurant in the north part of town
request,whats the address
thankyou,uh thank you good bye
request,whats the phone number
inform,any price range
negate,no
request,whats the address
reqalts,thats great what else is there
reqalts,how about italian food
inform,catalan
inform,i dont care
request,type of food
request,phone number
request,could i have the address
request,what is the address
request,and the price range
reqalts,what about vietnamese food
inform,im looking for a moderately priced restaurant in the south part of town
inform,what about other parts of town
inform,center
inform,expensive
request,address
thankyou,thank you good bye
request,what kind of food do they serve
inform,asian
request,can i have the address
request,what is the address
request,phone number
request,how much does it cost
inform,korean food
request,can i get the address and phone number please
inform,turkish food
inform,it doesnt matter
request,what type of food is it
request,whats the address
inform,indian food
reqalts,anything else
request,what is the area
thankyou,thank you good bye
inform,i dont care
request,phone number
inform,im looking for a moderately priced restaurant in the north part of town
request,and the post code
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town serving portuguese
inform,vietnamese
inform,cheap unintelligible food
inform,european food
reqalts,anything else
inform,fuck the missing sock
affirm,right
null,noise
inform,i dont care
thankyou,thank you good bye
request,what is the address
inform,modern european
thankyou,thank you goodbye
request,area
null,show me the next
null,okay is there
request,what is the phone number
inform,im looking for a cheap restaurant in the north part of town
inform,i need a restaurant that serves canape
affirm,yes
thankyou,okay thats all thank you good bye
inform,moderately priced serving gastro pub
null,modern europene
bye,okay thank you and good bye
reqalts,how about an indian type food restaurant
thankyou,thank you good bye
inform,id like thai food
thankyou,thank you good bye
inform,north
thankyou,thank you goodbye noise
thankyou,thank you good bye
inform,thai food
request,phone number
request,okay can i have the address
request,probably an address
inform,moderately priced
inform,cheap restaurant in the south part of town
request,what is the address
thankyou,thank you good bye
reqalts,how about creative food
thankyou,thank you good bye
deny,wrong
inform,i need a restaurant serving asian oriental in the north part of town
request,whats the phone number
null,unintelligible
inform,in the north part of town that serves
request,phone number
negate,no
thankyou,thank you good bye
inform,im looking for a moderately priced restaurant and it should be in the north
null,sil
request,type of food
hello,hello
inform,doesnt matter
request,whats the address and phone number
bye,good bye
inform,im looking for a cheap restaurant that serves swedish food
inform,greek
affirm,yes
negate,no unintelligible
inform,cheap
reqalts,anything else
request,address
thankyou,thank you good bye
inform,french food any french food
inform,food
thankyou,thank you good bye
request,whats the address
inform,im looking for a cheap restaurant in the east part of town
request,whats the address
inform,i want something in the south
null,music
inform,east
null,unintelligible
inform,any area
null,sil
affirm,yes
request,whats the phone number
thankyou,thank you good bye
negate,no
request,phone number
thankyou,thank you good bye
thankyou,thank you good bye
request,whats the address
reqalts,how about portuguese
inform,serves turkish food
thankyou,uh thank you good bye
inform,indian food
inform,irish food
inform,any
inform,it doesnt matter
inform,restaurant in the north part of town
inform,south
inform,vietnamese
request,area
request,can i have the address
thankyou,thank you goodbye
null,system
inform,indian food
thankyou,thank you
thankyou,thank you good bye
request,address
inform,spanish food
null,did you hang up on me
thankyou,thank you goodbye
inform,expensive
inform,mediterranean
thankyou,thank you good bye
inform,east
inform,cheap
request,address
inform,im looking for an expensive restaurant and it should be east part of town
request,could i have the address and phone number please
request,whats their address
inform,vietnamese food
thankyou,thank you good bye
inform,im looking for a restaurant in the east part of town serving chinese food
inform,i want to find an expensive restaurant
thankyou,thank you goodbye
bye,good bye
affirm,yes
inform,west part of town
inform,portuguese food
request,the address
inform,im looking for a restaurant in the
inform,okay ah how bout portuguese
reqalts,is there anything else
thankyou,thank you good bye
thankyou,thank you good bye
inform,barbecue food west part of town
thankyou,thank you good bye
request,address
thankyou,thank you goodbye
inform,vietnamese food
inform,mexican
request,address
reqalts,how about a restaurant serving vietnamese food
inform,any
inform,asian oriental
inform,restaurant north part of town
inform,im looking for a restaurant in the center of town that serves lebanese
request,address
inform,im looking for a re
thankyou,thank you good bye
request,address
reqalts,how about european type food
inform,north town
inform,moderately priced restaurant
reqalts,anything else
null,unintelligible
reqalts,is there anything else
thankyou,thank you goodbye
request,address
inform,moderate
inform,cheap restaurant serving indian food
inform,i dont care about the price range i need bask food
null,what about
inform,doesnt matter
inform,i dont know
request,what is the price range
inform,looking for a cheap restaurant serving portuguese food
inform,australian food
request,what is the address and post code
request,what is the post code
inform,dont care
inform,west
inform,ah im looking for a cheap restaurant
request,whats the address
null,unintelligible
request,and the phone number
request,can i have the phone number
confirm,does it serve italian food
inform,south of town
reqalts,how about the center of town
negate,oh no and cheap
inform,the east part
null,sil
deny,dont want that
inform,north part of town
affirm,yes
inform,im looking for a moderately priced restaurant in the west part
bye,good bye
thankyou,thank you good bye
reqalts,is there anything else
confirm,is there a thai restaurant in the west part of town
inform,chinese
request,what is the address
inform,steak house food noise steak house food
inform,im looking for a moderately priced restaurant in the south part of town
request,what is the address
request,and the type of food
reqalts,is there anything else
inform,creative food
inform,east
inform,any
null,sil
request,address
inform,mexican food
thankyou,thank you good bye
inform,im looking for a restaurant serving asian oriental food
inform,chinese
request,post code
request,what kind of food does it serve
reqalts,anything else
thankyou,thank you good bye
request,address
reqalts,how about asian oriental
thankyou,thank you good bye
inform,eritrean food
null,sil
request,can i can i have the address the phone number
inform,i want a restaurant in the center part of town that serves traditional food
inform,im looking for an expensive restauran
request,and whats the phone number
inform,jamcian food
inform,something cheap
reqalts,how about spanish food
request,what is the phone number
affirm,yes
inform,any
request,okay can i have the address
null,unintelligible
thankyou,thank you good bye
inform,any
inform,south
inform,moderate
inform,it doesnt matter
request,whats the address
inform,restaurant
inform,uh moderately price
request,whats the post code
inform,i dont care
inform,traditional food
request,address phone number and type of venue
thankyou,thank you good bye
inform,i want a restaurant in the center of town
request,whats the phone number
request,may i have the address and price range
request,can i have the price range
inform,chinese food
affirm,yes
request,price range
request,what type of food does the missing sock ser
inform,a cheap restaurant
bye,okay bye
thankyou,thank you good bye
thankyou,thank you good bye
affirm,yes
inform,im looking for a cheap restaurant in the
request,what is the price range
request,what is the address
null,and
request,whats the address
inform,if there is no such venue how about european type of
request,address and phone number
confirm,does it serve vietnamese type of food
inform,any
request,phone number
inform,any
inform,danish
inform,caribbean food
reqalts,what about asian oriental food
inform,thai
negate,no
inform,german food
inform,the south part of town
thankyou,thank you good bye
affirm,right
inform,find me vietnamese food
null,noise
null,unintelligible
affirm,right
inform,im looking for a restaurant in the east part of town that serves spanish food
affirm,yes
reqalts,what about chinese food
affirm,yes
inform,food
inform,looking for a cheap restaurant in the west part of town
thankyou,thank you goodbye
thankyou,thank you good bye
request,could i get their phone number
null,would you like something
inform,i dont care
null,sil
null,now
null,sil
request,and the phone number
request,whats the phone number
inform,it doesnt matter
inform,i dont care
request,what is the post code
inform,moderate
inform,spanish
request,phone number
inform,asian food
inform,looking for an expensive restaurant
inform,pan asian food
reqalts,is there anything else
request,can i have their phone number please
thankyou,thank you good bye
reqalts,uh how about chinese food
inform,moderate
reqalts,how about asian oriental
inform,im looking for an expensive restaurant in the south part of town
affirm,yes
request,phone number
inform,basque
inform,doesnt matter
bye,bye
thankyou,thank you good bye
request,what kind of food do they have there
inform,cheap restaurant
request,can i get the phone number
inform,i dont care
inform,im looking for air tran food in the south part of town
inform,unintelligible expensive
request,what is the phone number
inform,east
thankyou,thank you good bye
inform,uh gastropub
inform,asian oriental
inform,mediterranean restaurant in any part of town
request,what is the phone number
request,can i have the address and phone number of the venue
request,give me the phone number
request,address
thankyou,thank you good bye
inform,british food
request,okay how bout their phone number
bye,alright thank you good bye
affirm,right
request,okay can i have the phone number
null,id like to find
null,noise
inform,um i dont know
affirm,yes
inform,is there one serving european type food
affirm,yes
request,address
reqalts,how about french
inform,looking for something moderately priced on the north side of town
inform,expensive
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town and it should serve chinese food
affirm,yes
inform,im looking for a restaurant that serves thai food and i dont care about the price
inform,a cheap restaurant
inform,im looking for an italian restaurant
inform,food
request,postcode
request,phone number
thankyou,thank you good bye
inform,i dont care
negate,no
reqalts,anything else
request,post code
request,may i have the phone number and address please
reqalts,is there anything else
inform,expensive
null,whats the unintelligible
request,whats the address
request,what is the type of food
request,post code
inform,any
thankyou,thank you goodbye
inform,im looking for a thai food restaurant and i dont care the price
inform,i want to find a cheap restaurant in the west part of town
request,phone number
inform,im looking for a restaurant that serves french food
inform,moderately priced
inform,expensive restaurant in the south part of town
inform,it should serve french food
reqalts,how about asian oriental
request,phone number
request,type of food
request,what is the phone number
inform,i would like thai food
request,phone number
inform,um medium price range
reqalts,what about chinese in the south part of town
inform,spanish food
thankyou,thank you good bye
inform,any price range
thankyou,thank you good bye
inform,jamaican
null,unintelligible
thankyou,thank you good bye
inform,i dont care
reqalts,is there any other restaurant that serves turkish food
reqalts,is there any other type of food
thankyou,thank you good bye
inform,i dont care
inform,i dont care
thankyou,thank you goodbye
request,whats its post code
inform,cheap restaurant gastropub food
inform,i want to find a moderately priced restaurant
request,could i have their phone number and address please
request,phone number
inform,can i get a moderate restaurant in the south part of town
thankyou,thank you
inform,cheap
inform,irish food
inform,the centre
request,what is the address and phone number
request,price range
inform,uh the north
inform,any
inform,chinese
affirm,mmhm
inform,i want scottish food
inform,im looking for a moderately priced restaurant that serves bistro
inform,moderate
null,unintelligible
inform,food
inform,alright gastropub food
inform,that serves japanese food
inform,welsh food
thankyou,thank you good bye
request,whats the address
inform,im looking for a restaurant in any area that serves tuscan food
request,and what is the price range
inform,id like thai food
request,what is the address and phone number worth
inform,asian oriental
inform,any price range
inform,im looking for a moderately priced restaurant that serves
inform,i would like to find a cheap restaurant
inform,any kind of food
inform,find something in the north part
null,carrier
inform,chinese food
inform,chinese
thankyou,thank you good bye
inform,can i have greek food
affirm,yes
request,i want the address and ph
request,telephone number
inform,a restaurant in the east part of town that serves caribbean food
inform,west part of town
thankyou,thank you good bye
inform,uh korean food
reqalts,what about vietnamese food
inform,south part of town
request,address
negate,no austrian food
inform,sea food
request,what is the address
inform,asian oriental
null,noise
inform,dont care
null,noise
request,type of food served
inform,im looking for an indian restaurant in the
inform,asian food
request,area
inform,thai
inform,i dont care
thankyou,thank you good bye
inform,mediterranean food
inform,vietnamese
reqalts,how about mediterranean food
negate,no
null,noise
inform,dont care
inform,dont care
inform,south part of town
thankyou,thank you good bye
null,sil
inform,korean
request,what kind of food do they serve
thankyou,thank you good bye
inform,food
inform,indian food west part of town
inform,any price range
inform,british food
request,phone number
inform,doesnt matter
affirm,yeah
inform,im looking a cheap restaurant in the south part of town
affirm,yes
inform,german
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the address
thankyou,thank you good bye
inform,dont care
inform,food
request,whats their price range
request,what type of food do they serve
inform,i want a moderately priced restaurant in the north part of town
request,could i have the address
inform,european food
inform,im looking for spanish food
request,post code
request,a post code
thankyou,thank you good bye
thankyou,thank you good bye
request,phone number
request,what is the address
inform,veitnamese
request,address
inform,east
request,okay whats the address
request,whats the address
thankyou,thank you good bye
bye,good bye
reqalts,is there anything else
inform,i dont care
reqalts,what about earatree food
request,address
ack,okay um
restart,start over
request,what is their price range
negate,no moderately priced
request,what is the phone number
affirm,yes
negate,uh no thats it thank you and good bye
request,what type of food do they serve
request,phone number phone number
null,okay and um
thankyou,thank you good bye
inform,center
inform,um i dont know
request,phone number
inform,european
request,phone number and type of food
inform,indian food
inform,italian
null,sil
request,can i get the phone number
thankyou,thank you good bye
request,address
null,noise
negate,no thank you good bye
inform,expensive restaurant
inform,moderately priced restaurant that serves indian food
null,whats the code
null,serving
inform,south
confirm,is it in the north part of tow
inform,european food
negate,no
inform,im looking for romanian food
reqalts,is there anything else
confirm,is it in the center of town
inform,i dont care
inform,in the north part of town
thankyou,thank you good bye
reqalts,how about european
null,sil
thankyou,thank you good bye
null,unintelligible
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
affirm,yes
inform,i want korean food
request,what kind of food
negate,no spanish food
inform,i dont care
thankyou,thank you good bye
inform,what about asian food
request,part of town
reqalts,how about oriental type of food
inform,any kind
request,what is the address
thankyou,thank you good bye
inform,indian
request,price range
reqalts,how about modern european
inform,any
request,address and postcode
inform,im looking for a restaurant serving pan asian foo
request,phone number
negate,no indian
affirm,yes
request,whats the address
thankyou,thank you good bye
null,unintelligible
request,whats the phone number for hotel dubai
request,price range
inform,italian
request,address
inform,im looking for a restaurant in any area and it should serve pan asian food
null,viet
request,may i have the address
request,post code
inform,irish food
inform,place that serves portuguese food
null,okay
inform,christmas food
request,phone number and area
thankyou,thank you good bye
inform,i dont care
inform,i want a restaurant in the west part of town serving australian food
inform,modern european food
inform,asian
thankyou,uh thank you and goodbye
inform,gastropub
inform,moderately priced any foo
request,the area of the venue
request,can i have the address phone number and post code
inform,looking for a moderately priced creative food
request,okay whats the address
request,whats their address
request,postcode
inform,west part of town cuban food
inform,any price range
request,address
inform,im looking for traditional food
inform,thai
inform,expensive
request,can i get the address
confirm,uh is there a korean restaurant in the center of town
request,whats the address
request,can i have the phone number and type of food please
inform,thai
request,what is the address
inform,aristrain food
null,noise
inform,steak house
thankyou,thank you good bye
request,whats the post code
inform,any price range
affirm,correct
request,could you get me the phone number
request,whats the phone number
confirm,is that in the north part of town
inform,expensive restaurant in the south part of town
thankyou,thank you good bye
request,address
request,whats their price range
inform,any
request,and the price range
inform,catalan
thankyou,thank you good bye
inform,i want a moderately priced restaurant that serves
inform,any kind in the north part of town
inform,um is doesnt matter
request,what type of food does it serve
